Name,Type,Location,ENV_NAME,Rule,Result
CN_LAB_Register,env,CN,InfraAuto_Hostname,cnt0806.*,lab
CN_PP_Store,env,CN,InfraAuto_Hostname,CNT1628.*|CNT0901.*|CNT0422.*|CNT1778.*|CNT1260.*|CNT1277.*|CNT0861.*|CNT0921.*|CNT1226.*|CNT0860.*|CNT2966.*|CNT0990.*|CNT1265.*|CNT0488.*|CNT1758.*,pp
CN_PP_AllInOne,env,CN,InfraAuto_Hostname,CNT127749|CNT127708|CNT038806|CNT325802|CNT038805|CNT176722,pp
VN_PP_BettleA,env,VN,InfraAuto_Hostname,VNT325203|VNT325202,pp
CN_PR_Register,env,CN,InfraAuto_Hostname,.*,pr
VN_PP_M2,env,VN,InfraAuto_Hostname,VNT238604|VNT238602|VNT238603|VNT238604|VNT238608|VNT238610|VNT238601,pp
KR_PP_Register,env,KR,InfraAuto_Hostname,KRT3256.*,pp
SG_PP_BeetleA,env,SG,InfraAuto_Hostname,SGT2128.*,pp
MY_PP_BeetleA,env,MY,InfraAuto_Hostname,MYT160008,pp
PF_PR_Register,env,PF,InfraAuto_Hostname,.*,pr
ID_PP_M2,env,ID,InfraAuto_Hostname,IDT170804,pp
HK_PP_M2,env,HK,InfraAuto_Hostname,HKT161812,pp
TW_PP_M2,env,TW,InfraAuto_Hostname,TWT066601|TWT066610|TWT066618|TWT066619|TWT066620|TWT092608,pp
PH_PR_Register,env,PH,InfraAuto_Hostname,.*,pr
MY_PP_M2,env,MY,InfraAuto_Hostname,MYT200001,pp
HK_PP_BeetleA,env,HK,InfraAuto_Hostname,HKT161804,pp
TH_PR_Register,env,TH,InfraAuto_Hostname,.*,pr
MY_PR_Register,env,MY,InfraAuto_Hostname,.*,pr
KR_PR_Register,env,KR,InfraAuto_Hostname,.*,pr
ID_PR_Register,env,ID,InfraAuto_Hostname,.*,pr
HK_PR_Register,env,HK,InfraAuto_Hostname,.*,pr
NC_PR_Register,env,NC,InfraAuto_Hostname,.*,pr
SG_PR_Register,env,SG,InfraAuto_Hostname,.*,pr
VN_PR_Register,env,VN,InfraAuto_Hostname,.*,pr
TW_PR_Register,env,TW,InfraAuto_Hostname,.*,pr
AU_PR_Register,env,AU,InfraAuto_Hostname,.*,pr
KH_PR_Register,env,KH,InfraAuto_Hostname,.*,pr
PF_PR_BeetleA_P1200,group,PF,InfraAuto_Device_Model,BeetleA,BeetleA_P1200
CN_PR_EngagePOS,group,CN,InfraAuto_Device_Model,EngagePOS,EngagePOS
CN_PR_BeetleA_P1200,group,CN,InfraAuto_Device_Model,BeetleA,BeetleA_P1200
CN_PR_M2-ALLINONE_JPOS,group,CN,InfraAuto_Device_Model,M2-ALLINONE,AllInOne_JPOS
CN_PR_R2-ALLINONE_JPOS,group,CN,InfraAuto_Device_Model,R2-ALLINONE,AllInOne_JPOS
TW_A2210,group,TW,InfraAuto_Device_Model,A2210,A2210
CN_A2210,group,CN,InfraAuto_Device_Model,"A2210,A2010",A2210
CN_EngageOneG2,group,CN,InfraAuto_Device_Model,EngageOneG2,EngageOneG2_LAB
CN_PR_M2110,group,CN,InfraAuto_Device_Model,M2110,M2110
CN_PR_M2,group,CN,InfraAuto_Hostname,.*,M2
NC_BeetleA_P1200,group,NC,InfraAuto_Device_Model,BeetleA,BeetleA_P1200
SG_PR_BeetleA_P1200,group,SG,InfraAuto_Device_Model,BeetleA,BeetleA_P1200
VN_PR_BeetleA_TH200i,group,VN,InfraAuto_Device_Model,BeetleA,BeetleA_TH200i
KR_M2_P1200,group,KR,InfraAuto_Hostname,KRT343801|KRT343802|KRT3356.*|KRT2118.*|KRT3513.*|KRT3561.*,M2_P1200
VN_A2210,group,VN,InfraAuto_Device_Model,A2210,A2210
SG_A2210,group,SG,InfraAuto_Device_Model,A2210,A2210
HK_PR_BeetleA_P1200,group,HK,InfraAuto_Device_Model,BeetleA,BeetleA_P1200
MY_PR_BeetleA_P1200,group,MY,InfraAuto_Device_Model,BeetleA,BeetleA_P1200
ID_PR_BeetleA_P1200,group,ID,InfraAuto_Device_Model,BeetleA,BeetleA_P1200
KR_PR_BeetleA_P1200,group,KR,InfraAuto_Device_Model,BeetleA,BeetleA_P1200
TH_PR_BeetleA_P1200,group,TH,InfraAuto_Device_Model,BeetleA,BeetleA_P1200
TW_PR_BeetleA_P1200,group,TW,InfraAuto_Device_Model,BeetleA,BeetleA_P1200
KH_PR_BeetleA_P1200,group,KH,InfraAuto_Device_Model,BeetleA,BeetleA_P1200
AU_PR_BeetleA_P1200,group,AU,InfraAuto_Device_Model,BeetleA,BeetleA_P1200
PH_PR_BeetleA_P1200,group,PH,InfraAuto_Device_Model,BeetleA,BeetleA_P1200
SG_A2010,group,SG,InfraAuto_Device_Model,A2010,A2210
MY_A2210,group,MY,InfraAuto_Device_Model,A2210,A2210
KR_EngageOneG2,group,KR,InfraAuto_Device_Model,EngageOneG2,EngageOneG2
TH_A2210,group,TH,InfraAuto_Device_Model,A2210,A2210
AU_PR_M2_TH200i,group,AU,InfraAuto_Hostname,.*,M2_TH200i
TW_PR_M2_TH200i,group,TW,InfraAuto_Hostname,.*,M2_TH200i
KH_PR_M2_TH200i,group,KH,InfraAuto_Hostname,.*,M2_TH200i
MY_PR_M2_TH200i,group,MY,InfraAuto_Hostname,.*,M2_TH200i
ID_PR_M2_TH200i,group,ID,InfraAuto_Hostname,.*,M2_TH200i
HK_PR_M2_TH200i,group,HK,InfraAuto_Hostname,.*,M2_TH200i
SG_PR_M2_TH200i,group,SG,InfraAuto_Hostname,.*,M2_TH200i
TH_PR_M2_TH200i,group,TH,InfraAuto_Hostname,.*,M2_TH200i
PH_PR_M2_TH200i,group,PH,InfraAuto_Hostname,.*,M2_TH200i
VN_PR_M2_TH200i,group,VN,InfraAuto_Hostname,.*,M2_TH200i
KR_PR_M2_TH200i,group,KR,InfraAuto_Hostname,.*,M2_TH200i
