Store_Number,Network_Segment,Webpos_Env,EFT,Location,RF_Server,Cashtill_Seg_GW
806,10.66.48.0,pr,ICBC,CN,10.69.127.244,10.69.63.225
388,10.5.253.0,pr,GMC,CN,10.69.96.4,10.69.0.1
391,10.5.249.0,pr,GMC,CN,10.69.96.36,10.69.0.65
392,10.5.251.0,pr,ICBC,CN,10.69.96.52,10.69.0.97
416,10.5.248.0,pr,ICBC,CN,10.69.96.68,10.69.0.129
418,10.5.247.0,pr,GMC,CN,10.69.96.84,10.69.0.161
419,10.5.246.0,pr,ICBC,CN,10.69.96.100,10.69.0.193
420,10.5.245.0,pr,ICBC,CN,10.69.96.116,10.69.0.225
421,10.5.244.0,pr,ICBC,CN,10.69.96.132,10.69.1.1
422,10.5.243.0,pr,ICBC,CN,10.69.96.148,10.69.1.33
430,10.5.241.0,pr,ICBC,CN,10.69.96.164,10.69.1.65
488,10.5.240.0,pr,ICBC,CN,10.69.96.180,10.69.1.97
490,10.5.239.0,pr,ICBC,CN,10.69.96.212,10.69.1.161
491,10.5.238.0,pr,ICBC,CN,10.69.96.228,10.69.1.193
508,10.5.236.0,pr,ICBC,CN,10.69.96.244,10.69.1.225
559,10.5.234.0,pr,ICBC,CN,10.69.97.4,10.69.2.1
561,10.5.232.0,pr,ICBC,CN,10.69.97.20,10.69.2.33
589,10.5.229.0,pr,ICBC,CN,10.69.97.52,10.69.2.97
592,10.5.228.0,pr,ICBC,CN,10.69.97.68,10.69.2.129
593,10.5.227.0,pr,ICBC,CN,10.69.97.84,10.69.2.161
665,10.5.225.0,pr,ICBC,CN,10.69.97.100,10.69.2.193
669,10.5.224.0,pr,ICBC,CN,10.69.97.116,10.69.2.225
680,10.5.223.0,pr,ICBC,CN,10.69.97.132,10.69.3.1
681,10.5.222.0,pr,ICBC,CN,10.69.97.148,10.69.3.33
682,10.5.221.0,pr,ICBC,CN,10.69.97.164,10.69.3.65
685,10.5.220.0,pr,GMC,CN,10.69.97.180,10.69.3.97
686,10.5.219.0,pr,ICBC,CN,10.69.97.196,10.69.3.129
688,10.5.218.0,pr,GMC,CN,10.69.97.212,10.69.3.161
689,10.5.214.0,pr,ICBC,CN,10.69.97.228,10.69.3.193
708,10.5.216.0,pr,ICBC,CN,10.69.97.244,10.69.3.225
780,10.5.211.0,pr,ICBC,CN,10.69.98.4,10.69.4.1
781,10.5.209.0,pr,GMC,CN,10.69.98.20,10.69.4.33
783,10.5.205.0,pr,ICBC,CN,10.69.98.36,10.69.4.65
786,10.5.210.0,pr,ICBC,CN,10.69.98.52,10.69.4.97
789,10.5.207.0,pr,ICBC,CN,10.69.98.68,10.69.4.129
792,10.5.200.0,pr,ICBC,CN,10.69.98.84,10.69.4.161
800,10.5.212.0,pr,ICBC,CN,10.69.98.100,10.69.4.193
805,10.5.201.0,pr,ICBC,CN,10.69.98.132,10.69.5.1
807,10.5.195.0,pr,ICBC,CN,10.69.98.148,10.69.5.33
822,10.5.163.0,pr,JH,CN,10.69.98.164,10.69.5.65
842,10.5.190.0,pr,ICBC,CN,10.69.98.180,10.69.5.97
856,10.5.199.0,pr,JH,CN,10.69.98.196,10.69.5.129
857,10.5.192.0,pr,GMC,CN,10.69.98.212,10.69.5.161
859,10.5.191.0,pr,ICBC,CN,10.69.98.228,10.69.5.193
860,10.5.185.0,pr,ICBC,CN,10.69.98.244,10.69.5.225
861,10.5.184.0,pr,ICBC,CN,10.69.99.4,10.69.6.1
873,10.5.188.0,pr,GMC,CN,10.69.99.20,10.69.6.33
888,10.5.155.0,pr,GMC,CN,10.69.99.116,10.69.6.225
901,10.5.187.0,pr,ICBC,CN,10.69.99.132,10.69.7.1
903,10.5.186.0,pr,ICBC,CN,10.69.99.148,10.69.7.33
904,10.5.162.0,pr,ICBC,CN,10.69.99.164,10.69.7.65
907,10.5.178.0,pr,ICBC,CN,10.69.99.196,10.69.7.129
