Var_Name,Value,Env,Matcher
TW_PARK_STORE_NO,"1222,1229,1292,1633,1639,1681,1762,1766,1769,1772,1779,666,871,928,988,926",pr,[]
Greengate_Store,806,lab,[]
Greengate_Store,"1277,856,665,1719,1203,392,1265,1670,422,947,1204,419,842,1289",pr,[]
Greengate_Store,"1277,856,665,1719,1203,392,1265,1670,422,947,1204,419,842,1289",pp,[]
Test_Store_List,1277,pp,[]
TW_PARK_STORE_NO,"1222,1229,1292,1633,1639,1681,1762,1766,1769,1772,1779,666,871,928,988,926",pp,[]
Offline_Drill_Wave0,8060,lab,[]
Offline_Drill_Wave1,806,lab,[]
TW_DKTPrinter_Jar_Link,https://cashmstraccountpr.blob.core.chinacloudapi.cn/taiwaninvoicesetting/DecathlonPrinter_20260515.jar,lab,[]
TW_DKTPrinter_Jar_MD5,911D4BE8D31B43BCF65835705A9E8B44,lab,[]
AsiaWindowsCashtillTool_SRC,https://infra-auto.dktapp.cloud/public/shell/AsiaWindowsCashtillTool_1.0.14.exe,lab,[]
AsiaWindowsCashtillTool_MD5,45041EC8238602BE86D31F7E028318D6,lab,[]
AsiaWindowsCashtillTool_SRC,https://infra-auto.dktapp.cloud/public/shell/AsiaWindowsCashtillTool_1.0.14.exe,pp,[]
AsiaWindowsCashtillTool_MD5,45041EC8238602BE86D31F7E028318D6,pp,[]
AsiaWindowsCashtillTool_SRC,https://infra-auto.dktapp.cloud/public/shell/AsiaWindowsCashtillTool_1.0.12.exe,pr,[]
AsiaWindowsCashtillTool_MD5,8084309A56A5B2EB1BC932D34C53F844,pr,[]
AsiaWindowsCashtillTool_Ver,1.0.14,lab,[]
AsiaWindowsCashtillTool_Ver,1.0.14,pp,[]
AsiaWindowsCashtillTool_Ver,1.0.12,pr,[]
TW_PARK_STORE_NO,806,lab,[]
TW_PARK_STORE_NO_1,9090,lab,[]
TW_PARK_STORE_NO_2,806,lab,[]
TW_PARK_STORE_NO_1,"666,871,928,988,1222,1229,1292,1633,1639,1681,1762,1766,1769,1772,1779",pp,[]
TW_PARK_STORE_NO_2,926,pp,[]
TW_PARK_STORE_NO_1,"666,871,928,988,1222,1229,1292,1633,1639,1681,1762,1766,1769,1772,1779",pr,[]
TW_PARK_STORE_NO_2,926,pr,[]
